user_id,user_name,age,gender,city,state,preferred_language,signup_date,subscription_type,subscription_start_date,subscription_end_date,source
U0001,Meenakshi Menon,41.0,Male,Salem,Tamil Nadu,Tamil,2019-12-23,Annual Ebook,2019-12-27,2020-12-26,dataset_1
U0002,Ananya Rao,50.0,Female,Thiruvananthapuram,Kerala,Malayalam,2023-09-15,Annual Ebook,,,dataset_1
U0003,BHARATI Srinivasan,18.0,Female,Belagavi,Karnataka,Telugu,2021-05-31,Audiobook Subscription,2021-07-13,2022-07-13,dataset_1
U0004,Pooja Rao,40.0,Female,Kollam,Kerala,Malayalam,2020-05-26,Audiobook Subscription,2020-07-13,2021-07-13,dataset_1
U0005,Karthik Chaudhari,58.0,Female,Ahmedabad,Gujarat,English,2019-07-07,Annual Ebook,2019-08-13,2020-08-12,dataset_1
U0006,KARTHIK Sundaram,42.0,Male,Hubballi,Karnataka,Kannada,2021-05-08,Annual Ebook,2021-08-05,2022-08-05,dataset_1
U0007,Brindha Banerjee,58.0,Male,Tirunelveli,Tamil Nadu,Tamil,2021-06-18,Annual Ebook,2021-06-25,2022-06-25,dataset_1
U0008,UMA Reddy,43.0,Male,Visakhapatnam,Andhra Pradesh,Telugu,2024-08-06,Quarterly Ebook,2024-10-27,2025-01-25,dataset_1
U0009,Vignesh Murugesan,33.0,Female,Kozhikode,Kerala,Malayalam,2023-06-24,Quarterly Ebook,2023-07-11,2023-10-09,dataset_1
U0010,Sumathi Agarwal,21.0,Female,Tirunelveli,Tamil Nadu,Tamil,2019-09-18,Quarterly Ebook,2019-12-03,2020-03-02,dataset_1
U0011,Saroja Tiwari,41.0,Female,Kozhikode,Kerala,Malayalam,2021-12-28,Annual Ebook,,2023-02-09,dataset_1
U0012,Murugan Raghunathan,47.0,Male,Kozhikode,Kerala,Malayalam,2021-01-01,Quarterly Ebook,2021-01-14,2021-04-14,dataset_1
U0013,AJITH Natarajan,50.0,Female,Thrissur,Kerala,Malayalam,2024-12-12,Audiobook Subscription,2025-02-26,2026-02-26,dataset_1
U0014,Savitha Agarwal,41.0,Female,Kolkata,Rajasthan,Telugu,2021-09-13,Audiobook Subscription,2021-09-23,2022-09-23,dataset_1
U0015,KARTHIK Agarwal,66.0,Female,Kochi,Kerala,Malayalam,2020-11-07,Annual Ebook,,,dataset_1
U0016, Amudha Desai ,52.0,Male,Thiruvananthapuram,Kerala,Telugu,2023-03-10,Quarterly Ebook,2023-05-15,2023-08-13,dataset_1
U0017,Radha Menon,22.0,Male,Erode,Tamil Nadu,English,2019-10-18,Annual Ebook,2019-10-25,,dataset_1
U0018, Uma Pillai ,39.0,Male,Kochi,Kerala,English,2020-06-25,Annual Ebook,2020-09-06,2021-09-06,dataset_1
U0019,Selvi Kaur,48.0,Female,Salem,Tamil Nadu,Tamil,2023-10-01,Quarterly Ebook,,2024-01-05,dataset_1
U0020, Balaji Banerjee ,24.0,Male,Kolkata,Kerala,English,2021-02-18,Quarterly Ebook,2021-03-07,2021-06-05,dataset_1
U0021,Praveen Ramaswamy,33.0,Female,Kollam,Kerala,English,2019-03-02,Audiobook Subscription,2019-04-01,2020-03-31,dataset_1
U0022,Revathi Joshi,31.0,Female,Delhi,Delhi,Hindi,2023-05-19,Annual Ebook,,,dataset_1
U0023,Vignesh Raghunathan,64.0,Other,Thiruvananthapuram,Kerala,English,2022-04-30,Annual Ebook,,,dataset_1
U0024,kavitha varma,41.0,Female,Visakhapatnam,Andhra Pradesh,Telugu,2024-12-15,Annual Ebook,,,dataset_1
U0025,SUMATHI Rao,22.0,Female,Erode,Tamil Nadu,English,2021-10-05,Annual Ebook,2021-10-10,2022-10-10,dataset_1
U0026,Kalai Rao,55.0,Female,Thanjavur,Tamil Nadu,Tamil,2022-07-10,Annual Ebook,,,dataset_1
U0027,Ashwin Krishnan,37.0,Male,Pune,Maharashtra,Hindi,2020-02-14,Annual Ebook,,,dataset_1
U0028,Sowmya Mishra,40.0,Female,Kolkata,West Bengal,Hindi,2023-11-30,Audiobook Subscription,2024-02-28,2025-02-27,dataset_1
U0029, Sunil Rajput ,69.0,Female,Kannur,Kerala,Malayalam,2020-02-29,Audiobook Subscription,2020-03-17,,dataset_1
U0030,GEETHA Menon,65.0,Female,Vijayawada,Andhra Pradesh,Telugu,2021-04-13,Annual Ebook,2021-05-16,2022-05-16,dataset_1
U0031,Rohan Agarwal,21.0,Male,Kolkata,Tamil Nadu,English,2020-06-19,Annual Ebook,2020-07-22,2021-07-22,dataset_1
U0032,Ganesh Kulkarni,45.0,Female,Thiruvananthapuram,Kerala,Malayalam,2023-02-21,Annual Ebook,2023-03-11,2024-03-10,dataset_1
U0033,Kamala Krishnan,41.0,Female,Coimbatore,Tamil Nadu,English,2021-10-19,Annual Ebook,2021-12-03,2022-12-03,dataset_1
U0034,PREMA Chaudhari,44.0,Other,Erode,Tamil Nadu,Tamil,2020-12-26,Audiobook Subscription,2020-12-29,,dataset_1
U0035,harish patel,44.0,Female,Ahmedabad,Gujarat,Hindi,2020-03-18,Quarterly Ebook,2020-03-22,2020-06-20,dataset_1
U0036,Akash Sundaram,47.0,Male,Ahmedabad,Gujarat,Hindi,2021-03-02,Quarterly Ebook,2021-04-06,2021-07-05,dataset_1
U0037,Rajesh Srinivasan,50.0,Male,Kolkata,West Bengal,Telugu,2020-04-17,Audiobook Subscription,2020-05-20,2021-05-20,dataset_1
U0038, Harish Varma ,34.0,Male,Hubballi,Karnataka,Kannada,2023-11-23,Annual Ebook,2024-01-27,2025-01-26,dataset_1
U0039,MURUGAN Verma,30.0,Male,Chennai,Tamil Nadu,Tamil,2021-03-18,Quarterly Ebook,2021-03-26,2021-06-24,dataset_1
U0040,Parvathi Patel,60.0,Female,Bengaluru,Karnataka,Kannada,2023-07-31,Annual Ebook,,,dataset_1
U0041,Kala Raghunathan,30.0,Male,Delhi,Delhi,English,2022-05-17,Quarterly Ebook,2022-05-17,2022-08-15,dataset_1
U0042,Sunil Raghunathan,68.0,Female,Davangere,Karnataka,Kannada,2021-05-25,Quarterly Ebook,2021-06-15,2021-09-13,dataset_1
U0043,Surya Rao,41.0,Female,Kannur,Kerala,Malayalam,2021-07-09,Audiobook Subscription,2021-07-27,2022-07-27,dataset_1
U0044,Ananya Reddy,48.0,Female,Davangere,Karnataka,Kannada,2021-03-07,Annual Ebook,2021-04-25,2022-04-25,dataset_1
U0045,Anitha Mehta,59.0,Female,Pune,Maharashtra,Tamil,2021-06-15,Annual Ebook,,,dataset_1
U0046,Kala Tiwari,53.0,Male,Lucknow,Uttar Pradesh,Hindi,2024-03-18,Annual Ebook,2024-05-28,2025-05-28,dataset_1
U0047, Gopal Rajan ,46.0,Female,Warangal,Telangana,Telugu,,Audiobook Subscription,2024-03-01,2025-03-01,dataset_1
U0048,radha chandrasekaran,58.0,Male,Kolkata,Telangana,English,2023-12-07,Annual Ebook,,,dataset_1
U0049,Vijay Balasubramanian,38.0,Female,Tiruchirappalli,Tamil Nadu,Tamil,2020-09-17,Annual Ebook,2020-09-25,2021-09-25,dataset_1
U0050,Nirmala Joshi,47.0,Male,Kolkata,Karnataka,Kannada,2019-03-22,Audiobook Subscription,2019-06-03,2020-06-02,dataset_1
U0051,Kumar Kaur,40.0,Male,Kannur,Kerala,Malayalam,2021-06-22,Quarterly Ebook,2021-07-26,2021-10-24,dataset_1
U0052,Kamala Agarwal,39.0,Female,Kozhikode,Kerala,Malayalam,2020-06-06,Audiobook Subscription,2020-08-13,2021-08-13,dataset_1
U0053,Ananya Mehta,60.0,Male,Tiruchirappalli,Tamil Nadu,English,2021-12-01,Quarterly Ebook,2021-12-28,2022-03-28,dataset_1
U0054,Vignesh Rajan,42.0,Male,Bhopal,Madhya Pradesh,Hindi,2019-12-02,Quarterly Ebook,2020-02-09,2020-05-09,dataset_1
U0055,Suresh Gupta,22.0,Female,Thrissur,Kerala,Malayalam,2021-03-27,Audiobook Subscription,2021-06-14,2022-06-14,dataset_1
U0056,Bhavana Balasubramanian,60.0,Male,Lucknow,Uttar Pradesh,English,2023-02-19,Annual Ebook,,,dataset_1
U0057,Amudha Chakraborty,70.0,Male,Visakhapatnam,Andhra Pradesh,Telugu,2023-03-18,Quarterly Ebook,2023-04-12,2023-07-11,dataset_1
U0058,Meena Varma,58.0,Male,Bengaluru,Karnataka,Kannada,2020-05-10,Annual Ebook,2020-07-21,2021-07-21,dataset_1
U0059,Deepa Gupta,60.0,Male,Mysuru,Karnataka,Kannada,2024-06-30,Annual Ebook,,,dataset_1
U0060,BALU Das,47.0,Female,Kozhikode,Kerala,Malayalam,2022-01-11,Annual Ebook,2022-03-20,2023-03-20,dataset_1
U0061,Prema Kaur,70.0,Female,Erode,Tamil Nadu,Tamil,2024-01-21,Annual Ebook,,,dataset_1
U0062,Saroja Naidu,42.0,Male,Mysuru,Karnataka,Kannada,2022-12-24,Annual Ebook,2023-02-05,2024-02-05,dataset_1
U0063,hema prasad,35.0,Female,Vellore,Tamil Nadu,English,2023-07-23,Quarterly Ebook,2023-08-22,2023-11-20,dataset_1
U0064,Karthi Kaur,49.0,Male,Bengaluru,Karnataka,Kannada,2021-09-23,Annual Ebook,,,dataset_1
U0065,Deepak Singh,51.0,Male,Kolkata,West Bengal,Hindi,2024-02-02,Annual Ebook,,,dataset_1
U0066,Babu Sundaram,30.0,Male,Thrissur,Kerala,English,2021-06-05,Annual Ebook,2021-07-10,2022-07-10,dataset_1
U0067, Sathish Varma ,51.0,Female,Ahmedabad,Gujarat,Hindi,2023-01-18,Annual Ebook,,,dataset_1
U0068,Priya Chakraborty,35.0,Male,Bengaluru,Karnataka,Kannada,2024-07-03,Annual Ebook,,,dataset_1
U0069,Priya Naidu,48.0,Male,Coimbatore,Tamil Nadu,Tamil,2024-05-10,Annual Ebook,,,dataset_1
U0070,Rajesh Mehta,54.0,Female,Tiruchirappalli,Tamil Nadu,Tamil,2019-12-15,Audiobook Subscription,2019-12-30,2020-12-29,dataset_1
U0071,Vasantha Joshi,68.0,Female,Mangaluru,Karnataka,Kannada,2022-05-02,Audiobook Subscription,2022-06-25,2023-06-25,dataset_1
U0072,Rekha Naidu,57.0,Female,Thrissur,Kerala,Malayalam,2021-12-19,Annual Ebook,2022-01-08,2023-01-08,dataset_1
U0073,Senthil Ramaswamy,41.0,Male,Vijayawada,Andhra Pradesh,Telugu,2021-08-06,Annual Ebook,,,dataset_1
