user_id,user_name,age,gender,city,state,preferred_language,signup_date,subscription_type,subscription_start_date,subscription_end_date,source,user_total_transactions,user_unique_books,user_active_days,user_activity_score,membership_days
U0001,Meenakshi Menon,41.0,Male,Salem,Tamil Nadu,Tamil,2019-12-23,Annual Ebook,2019-12-27,2020-12-26,dataset_1,3.0,3.0,864.0,2.9999999999999996,2361.0
U0002,Ananya Rao,50.0,Female,Thiruvananthapuram,Kerala,Malayalam,2023-09-15,Annual Ebook,0,0,dataset_1,1.0,1.0,0.0,1.0,999.0
U0003,BHARATI Srinivasan,18.0,Female,Belagavi,Karnataka,Telugu,2021-05-31,Audiobook Subscription,2021-07-13,2022-07-13,dataset_1,1.0,1.0,0.0,1.0,1836.0
U0004,Pooja Rao,40.0,Female,Kollam,Kerala,Malayalam,2020-05-26,Audiobook Subscription,2020-07-13,2021-07-13,dataset_1,1.0,1.0,0.0,1.0,2206.0
U0005,Karthik Chaudhari,58.0,Female,Ahmedabad,Gujarat,English,2019-07-07,Annual Ebook,2019-08-13,2020-08-12,dataset_1,1.0,1.0,0.0,1.0,2530.0
U0006,KARTHIK Sundaram,42.0,Male,Hubballi,Karnataka,Kannada,2021-05-08,Annual Ebook,2021-08-05,2022-08-05,dataset_1,3.0,3.0,1333.0,2.9999999999999996,1859.0
U0007,Brindha Banerjee,58.0,Male,Tirunelveli,Tamil Nadu,Tamil,2021-06-18,Annual Ebook,2021-06-25,2022-06-25,dataset_1,1.0,1.0,0.0,1.0,1818.0
U0008,UMA Reddy,43.0,Male,Visakhapatnam,Andhra Pradesh,Telugu,2024-08-06,Quarterly Ebook,2024-10-27,2025-01-25,dataset_1,1.0,1.0,0.0,1.0,673.0
U0009,Vignesh Murugesan,33.0,Female,Kozhikode,Kerala,Malayalam,2023-06-24,Quarterly Ebook,2023-07-11,2023-10-09,dataset_1,3.0,2.0,422.0,2.6999999999999997,1082.0
U0010,Sumathi Agarwal,21.0,Female,Tirunelveli,Tamil Nadu,Tamil,2019-09-18,Quarterly Ebook,2019-12-03,2020-03-02,dataset_1,7.0,7.0,1464.0,7.0,2457.0
U0011,Saroja Tiwari,41.0,Female,Kozhikode,Kerala,Malayalam,2021-12-28,Annual Ebook,0,2023-02-09,dataset_1,2.0,2.0,728.0,2.0,1625.0
U0012,Murugan Raghunathan,47.0,Male,Kozhikode,Kerala,Malayalam,2021-01-01,Quarterly Ebook,2021-01-14,2021-04-14,dataset_1,7.0,7.0,1421.0,7.0,1986.0
U0013,AJITH Natarajan,50.0,Female,Thrissur,Kerala,Malayalam,2024-12-12,Audiobook Subscription,2025-02-26,2026-02-26,dataset_1,1.0,1.0,0.0,1.0,545.0
U0014,Savitha Agarwal,41.0,Female,Kolkata,Rajasthan,Telugu,2021-09-13,Audiobook Subscription,2021-09-23,2022-09-23,dataset_1,1.0,1.0,0.0,1.0,1731.0
U0015,KARTHIK Agarwal,66.0,Female,Kochi,Kerala,Malayalam,2020-11-07,Annual Ebook,0,0,dataset_1,1.0,1.0,0.0,1.0,2041.0
U0016, Amudha Desai ,52.0,Male,Thiruvananthapuram,Kerala,Telugu,2023-03-10,Quarterly Ebook,2023-05-15,2023-08-13,dataset_1,1.0,1.0,0.0,1.0,1188.0
U0017,Radha Menon,22.0,Male,Erode,Tamil Nadu,English,2019-10-18,Annual Ebook,2019-10-25,0,dataset_1,1.0,1.0,0.0,1.0,2427.0
U0018, Uma Pillai ,39.0,Male,Kochi,Kerala,English,2020-06-25,Annual Ebook,2020-09-06,2021-09-06,dataset_1,2.0,2.0,128.0,2.0,2176.0
U0019,Selvi Kaur,48.0,Female,Salem,Tamil Nadu,Tamil,2023-10-01,Quarterly Ebook,0,2024-01-05,dataset_1,1.0,1.0,0.0,1.0,983.0
U0020, Balaji Banerjee ,24.0,Male,Kolkata,Kerala,English,2021-02-18,Quarterly Ebook,2021-03-07,2021-06-05,dataset_1,6.0,6.0,1481.0,5.999999999999999,1938.0
